Index,vm_pu_bus1,vm_pu_bus2,vm_pu_bus3,vm_pu_bus4,vm_pu_bus5,vm_pu_bus6,vm_pu_bus7,vm_pu_bus8,vm_pu_bus9,va_degree_bus1,va_degree_bus2,va_degree_bus3,va_degree_bus4,va_degree_bus5,va_degree_bus6,va_degree_bus7,va_degree_bus8,va_degree_bus9,Cluster
0,0,0.029171839,0,0.058848987,0.164630322,0.057972865,0.058266499,0.040639928,0.045819749,0,0.052413793,0.067758534,0.081315923,0.091694041,0.069143703,0.076351774,0.065692514,0.074003222,3
1,0,0.01619292,0.5,0.028590446,0.122365914,0.021484538,0.026231311,0.022558712,0.034294964,0,0.019084038,0.021339921,0.030891107,0.029159612,0.022158907,0.025043579,0.023918864,0.034207791,3
2,0,0.032780538,0.25,0.068370121,0.166328985,0.05752292,0.055990254,0.045667286,0.060311601,0,0.055892537,0.065682487,0.084579624,0.085720345,0.06695622,0.075891774,0.070052577,0.086151847,3
3,0,0.025505844,0.5,0.053538681,0.159297106,0.04863097,0.046664601,0.03553275,0.045542409,0,0.032832229,0.042184182,0.057280331,0.061657197,0.042473083,0.042658357,0.041150078,0.055559161,3
4,0,0.021406681,0.5,0.044122569,0.153333882,0.041847013,0.039256447,0.029822117,0.039279071,0,0.017081886,0.021947273,0.030807652,0.030420604,0.02132476,0.020858167,0.021409479,0.033393367,3
5,0,0.039864207,0.25,0.064400114,0.16280712,0.066151446,0.073948511,0.0555357,0.066463651,0,0.028600421,0.038619614,0.037724268,0.040530786,0.03738692,0.045132974,0.035846166,0.038054275,3
6,0,0.046208599,0,0.08618029,0.181300366,0.075074846,0.076177446,0.064374212,0.086041605,0,0.039234069,0.046489828,0.060199624,0.05645732,0.045155372,0.049614092,0.049173786,0.06714815,3
7,0,0.021925249,0.5,0.050646243,0.150982938,0.035405294,0.029569913,0.030544545,0.050042071,0,0.023709696,0.030617916,0.041436335,0.044951521,0.031066583,0.031502326,0.029716406,0.040574057,3
8,0,0.051958638,0,0.098341561,0.194943721,0.089340469,0.090883973,0.072384718,0.09042079,0,0.059941395,0.076388131,0.093578377,0.100476397,0.07609432,0.082293559,0.075127188,0.090755137,3
9,0,0.024364203,0.5,0.049337758,0.160840813,0.046862132,0.042635333,0.033942305,0.045530009,0,0.010437216,0.01971651,0.020879468,0.027683855,0.018574036,0.016668342,0.013081422,0.017074204,3
10,0,0.061251167,0.25,0.118860492,0.206128845,0.09708021,0.095982512,0.085330343,0.116374819,0,0.06643121,0.08305893,0.102449075,0.108018853,0.082667033,0.090059297,0.08326116,0.101482065,3
11,0,0.047364896,0,0.092191744,0.189547933,0.081340581,0.080984022,0.065985074,0.085045566,0,0.054353442,0.066078274,0.085929058,0.086968983,0.065649076,0.070582842,0.068123561,0.088394367,3
